Time (min),Force (N),Position (mm)
2E-05,0.364,-0.000400
0.001,0.357,-0.000400
0.003,0.379,-0.000400
0.004,0.314,-0.000400
0.005,0.443,-0.000400
0.007,0.245,-0.000200
0.008,0.332,0.000500
0.009,0.720,0.00230
0.01,0.829,0.00410
0.01,0.964,0.00580
0.01,1.29,0.00740
0.01,1.57,0.00890
0.02,1.80,0.0104
0.02,2.11,0.0118
0.02,2.46,0.0133
0.02,2.72,0.0146
0.02,3.12,0.0160
0.02,3.56,0.0174
0.02,4.07,0.0187
0.03,4.62,0.0201
0.03,5.31,0.0214
0.03,5.94,0.0227
0.03,6.82,0.0241
0.03,7.75,0.0254
0.03,8.74,0.0267
0.03,9.88,0.0280
0.03,11.1,0.0294
0.04,12.6,0.0307
0.04,14.1,0.0322
0.04,15.9,0.0335
0.04,17.5,0.0348
0.04,19.5,0.0362
0.04,21.7,0.0375
0.04,23.9,0.0389
0.05,26.2,0.0402
0.05,28.6,0.0415
0.05,31.3,0.0429
0.05,34.0,0.0442
0.05,36.9,0.0456
0.05,39.9,0.0469
0.05,43.1,0.0483
0.06,46.3,0.0496
0.06,49.7,0.0510
0.06,53.3,0.0523
0.06,57.0,0.0537
0.06,60.7,0.0550
0.06,64.6,0.0563
0.06,68.7,0.0577
0.06,72.9,0.0590
0.07,77.3,0.0603
0.07,82.0,0.0617
0.07,86.5,0.0630
0.07,91.3,0.0644
0.07,96.5,0.0658
0.07,102,0.0671
0.07,107,0.0684
0.08,113,0.0698
0.08,119,0.0711
0.08,124,0.0724
0.08,131,0.0738
0.08,137,0.0751
0.08,143,0.0764
0.08,150,0.0778
0.08,157,0.0792
0.09,165,0.0805
0.09,172,0.0819
0.09,180,0.0832
0.09,188,0.0846
0.09,196,0.0859
0.09,204,0.0872
0.09,213,0.0885
0.1,221,0.0899
0.1,231,0.0912
0.1,240,0.0926
0.1,249,0.0939
0.1,259,0.0953
0.1,269,0.0966
0.1,279,0.0980
0.1,290,0.0993
0.1,301,0.101
0.1,311,0.102
0.1,323,0.103
0.1,334,0.105
0.1,345,0.106
0.1,357,0.107
0.1,369,0.109
0.1,380,0.110
0.1,393,0.111
0.1,405,0.113
0.1,417,0.114
0.1,431,0.116
0.1,444,0.117
0.1,457,0.118
0.1,470,0.120
0.1,484,0.121
0.1,497,0.122
0.1,511,0.124
0.1,525,0.125
0.1,540,0.126
0.1,554,0.128
0.1,569,0.129
0.1,584,0.130
0.1,599,0.132
0.1,614,0.133
0.1,629,0.134
0.1,644,0.136
0.1,661,0.137
0.1,676,0.138
0.1,692,0.140
0.1,708,0.141
0.1,724,0.142
0.1,740,0.144
0.2,757,0.145
0.2,774,0.146
0.2,791,0.148
0.2,809,0.149
0.2,826,0.150
0.2,843,0.152
0.2,861,0.153
0.2,878,0.154
0.2,897,0.156
0.2,914,0.157
0.2,932,0.158
0.2,951,0.160
0.2,970,0.161
0.2,988,0.163
0.2,1010,0.164
0.2,1030,0.165
0.2,1050,0.167
0.2,1070,0.168
0.2,1080,0.169
0.2,1100,0.171
0.2,1120,0.172
0.2,1140,0.173
0.2,1160,0.175
0.2,1180,0.176
0.2,1200,0.177
0.2,1220,0.179
0.2,1240,0.180
0.2,1270,0.181
0.2,1290,0.183
0.2,1310,0.184
0.2,1330,0.185
0.2,1350,0.187
0.2,1370,0.188
0.2,1390,0.189
0.2,1410,0.191
0.2,1430,0.192
0.2,1460,0.193
0.2,1480,0.195
0.2,1500,0.196
0.2,1520,0.198
0.2,1540,0.199
0.2,1570,0.200
0.2,1590,0.202
0.2,1610,0.203
0.2,1630,0.204
0.2,1660,0.206
0.2,1680,0.207
0.2,1700,0.208
0.2,1720,0.210
0.2,1750,0.211
0.2,1770,0.212
0.2,1800,0.214
0.2,1820,0.215
0.2,1840,0.216
0.2,1870,0.218
0.2,1890,0.219
0.2,1910,0.220
0.2,1940,0.222
0.2,1960,0.223
0.2,1990,0.224
0.2,2010,0.226
0.2,2040,0.227
0.2,2060,0.228
0.2,2090,0.230
0.2,2110,0.231
0.2,2140,0.233
0.2,2160,0.234
0.2,2190,0.235
0.2,2210,0.237
0.2,2240,0.238
0.2,2270,0.239
0.2,2290,0.241
0.2,2320,0.242
0.2,2340,0.243
0.2,2370,0.244
0.3,2390,0.246
0.3,2420,0.247
0.3,2450,0.249
0.3,2480,0.250
0.3,2500,0.251
0.3,2530,0.253
0.3,2560,0.254
0.3,2580,0.255
0.3,2610,0.257
