3.996813e+02,0.000000e+00
4.001635e+02,9.247663e+01
4.006456e+02,9.095856e+01
4.011277e+02,9.025917e+01
4.016098e+02,9.029675e+01
4.020919e+02,9.096941e+01
4.025741e+02,9.209113e+01
4.030562e+02,9.339399e+01
4.035383e+02,9.459291e+01
4.040204e+02,9.548061e+01
4.045026e+02,9.600583e+01
4.049847e+02,9.630865e+01
4.054668e+02,9.669028e+01
4.059489e+02,9.751083e+01
4.064311e+02,9.903439e+01
4.069132e+02,1.012860e+02
4.073953e+02,1.039915e+02
4.078774e+02,1.066331e+02
4.083596e+02,1.085961e+02
4.088417e+02,1.093713e+02
4.093238e+02,1.087447e+02
4.098059e+02,1.068861e+02
4.102881e+02,1.042623e+02
4.107702e+02,1.014210e+02
4.112523e+02,9.878641e+01
4.117344e+02,9.657594e+01
4.122166e+02,9.483530e+01
4.126987e+02,9.352635e+01
4.131808e+02,9.260877e+01
4.136629e+02,9.208578e+01
4.141451e+02,9.200587e+01
4.146272e+02,9.243741e+01
4.151093e+02,9.344110e+01
4.155914e+02,9.505268e+01
4.160736e+02,9.726183e+01
4.165557e+02,9.995432e+01
4.170378e+02,1.027791e+02
4.175200e+02,1.049480e+02
4.180021e+02,1.051433e+02
4.184842e+02,1.019866e+02
4.189663e+02,9.523567e+01
4.194484e+02,8.652757e+01
4.199306e+02,7.837093e+01
4.204127e+02,7.256893e+01
4.208948e+02,6.974464e+01
4.213770e+02,6.972659e+01
4.218591e+02,7.196858e+01
4.223412e+02,7.576059e+01
4.228233e+02,8.031789e+01
4.233055e+02,8.485852e+01
4.237876e+02,8.871031e+01
4.242697e+02,9.143851e+01
4.247518e+02,9.293263e+01
4.252339e+02,9.339079e+01
4.257161e+02,9.318818e+01
4.261982e+02,9.270193e+01
4.266803e+02,9.219020e+01
4.271624e+02,9.177374e+01
4.276446e+02,9.149422e+01
4.281267e+02,9.139091e+01
4.286088e+02,9.154035e+01
4.290909e+02,9.203242e+01
4.295731e+02,9.288629e+01
4.300552e+02,9.395039e+01
4.305373e+02,9.485473e+01
4.310194e+02,9.508407e+01
4.315016e+02,9.417953e+01
4.319837e+02,9.198065e+01
4.324658e+02,8.875206e+01
4.329479e+02,8.510508e+01
4.334301e+02,8.177486e+01
4.339122e+02,7.940343e+01
4.343943e+02,7.842099e+01
4.348764e+02,7.901524e+01
4.353586e+02,8.112892e+01
4.358407e+02,8.445312e+01
4.363228e+02,8.844112e+01
4.368049e+02,9.241292e+01
4.372870e+02,9.576577e+01
4.377692e+02,9.817983e+01
4.382513e+02,9.966335e+01
4.387334e+02,1.004251e+02
4.392155e+02,1.007012e+02
4.396977e+02,1.006507e+02
4.401798e+02,1.003422e+02
4.406619e+02,9.979903e+01
4.411440e+02,9.905975e+01
4.416262e+02,9.821485e+01
4.421083e+02,9.739496e+01
4.425904e+02,9.672085e+01
4.430725e+02,9.625303e+01
4.435547e+02,9.597684e+01
4.440368e+02,9.582710e+01
4.445189e+02,9.573240e+01
4.450010e+02,9.564873e+01
4.454832e+02,9.556797e+01
4.459653e+02,9.550126e+01
4.464474e+02,9.545453e+01
4.469295e+02,9.541366e+01
4.474117e+02,9.534996e+01
4.478938e+02,9.524281e+01
4.483759e+02,9.510588e+01
4.488580e+02,9.499742e+01
4.493401e+02,9.500652e+01
4.498223e+02,9.522123e+01
4.503044e+02,9.569498e+01
4.507865e+02,9.642252e+01
4.512687e+02,9.733150e+01
4.517508e+02,9.829381e+01
4.522329e+02,9.916370e+01
4.527150e+02,9.983355e+01
4.531971e+02,1.002783e+02
4.536793e+02,1.005551e+02
4.541614e+02,1.007615e+02
4.546435e+02,1.009862e+02
4.551257e+02,1.012830e+02
4.556078e+02,1.016704e+02
4.560899e+02,1.021492e+02
4.565720e+02,1.027235e+02
4.570542e+02,1.034126e+02
4.575363e+02,1.042410e+02
4.580184e+02,1.052085e+02
4.585005e+02,1.062607e+02
4.589827e+02,1.072857e+02
4.594648e+02,1.081390e+02
4.599469e+02,1.086841e+02
4.604290e+02,1.088278e+02
4.609112e+02,1.085456e+02
4.613933e+02,1.078861e+02
4.618754e+02,1.069550e+02
4.623575e+02,1.058816e+02
4.628397e+02,1.047802e+02
4.633218e+02,1.037224e+02
4.638039e+02,1.027293e+02
4.642860e+02,1.017864e+02
4.647682e+02,1.008689e+02
4.652503e+02,9.996603e+01
4.657324e+02,9.909875e+01
4.662145e+02,9.832285e+01
4.666967e+02,9.771926e+01
4.671788e+02,9.736975e+01
4.676609e+02,9.732643e+01
4.681430e+02,9.759029e+01
4.686252e+02,9.811800e+01
4.691073e+02,9.885834e+01
4.695894e+02,9.980202e+01
4.700715e+02,1.010193e+02
4.705536e+02,1.026647e+02
4.710358e+02,1.049303e+02
4.715179e+02,1.079360e+02
4.720000e+02,1.115827e+02
4.724821e+02,1.154636e+02
4.729643e+02,1.189401e+02
4.734464e+02,1.213702e+02
4.739285e+02,1.223329e+02
4.744106e+02,1.217202e+02
4.748928e+02,1.197044e+02
4.753749e+02,1.166557e+02
4.758570e+02,1.130538e+02
4.763391e+02,1.093967e+02
4.768213e+02,1.061045e+02
4.773034e+02,1.034380e+02
4.777855e+02,1.014613e+02
4.782676e+02,1.000714e+02
4.787498e+02,9.908267e+01
4.792319e+02,9.832814e+01
4.797140e+02,9.773220e+01
4.801961e+02,9.732736e+01
4.806783e+02,9.721510e+01
4.811604e+02,9.749478e+01
4.816425e+02,9.819045e+01
4.821246e+02,9.920170e+01
