TrialIdx,j1,j2,x1,x2,x3,a1,a2,a3,a4,a5,a6,a7,a8,a9,a10,a11,b1,b2,b3,b4,c1,c2,c3
0,0.709,0.8,0.4541394367814064,0.8151097983121872,0.5440351522527636,0.5722339,0.2348661,0.8071,0.9712893601059926,0.2428223400264981,1.2141117001324908,0.9701074711681252,1.7772074711681252,0.275395238253601,1.489506938386092,3.266714409554217,0.2428223400264981,1.204973571168125,1.2466845983595938,0.5722339,0.4243410605811681,2.10573608303899,2.17862765271263
1,0.709,0.8,0.7262317425105721,0.4258818982169032,0.9039163600653408,1.2115392,0.4972608000000001,1.7088,0.0852150643658544,0.0213037660914636,0.1065188304573181,0.6441679301715791,2.3529679301715793,0.1435947125302912,0.2501135429876093,2.6030814731591887,0.0213037660914636,1.1414287301715793,0.2288097768961457,1.2115392,0.0175840501829933,0.9421310760490286,0.1888587483559308
2,0.709,0.8,0.9215457250829786,0.9038889469578862,0.652034564781934,1.1817612,0.4850388000000001,1.6668,0.6979706376028116,0.1744926594007028,0.8724632970035144,0.1419002680739651,1.8087002680739652,0.0927695448625826,0.9652328418660971,2.7739331099400624,0.1744926594007028,0.6269390680739653,0.7907401824653943,1.1817612,0.1476547541082774,0.5305124826182864,0.6691201085848768
3,0.709,0.8,0.6433957011438907,0.6552666623145342,0.8000925032421946,0.9696284,0.3979716,1.3676,0.2784055426665944,0.0696013856666485,0.348006928333243,0.7579970432636546,2.1255970432636544,0.1830851420370276,0.5310920703702706,2.656689113633925,0.0696013856666485,1.155968643263655,0.461490684703622,0.9696284,0.0717815048183908,1.1921769651792942,0.4759459239267559
4,0.709,0.8,0.6722587832715363,0.9500534985214472,0.8662462281063199,1.0583952,0.4344048,1.4928,0.2605960756591598,0.0651490189147899,0.3257450945739497,0.7277734415775327,2.2205734415775327,0.0171251701857733,0.342870264759723,2.5634437063372557,0.0651490189147899,1.1621782415775326,0.2777212458449331,1.0583952,0.0615545298342149,1.098056984364189,0.262398436656679
5,0.709,0.8,0.944245167542249,0.589033062942326,0.5784421958960593,1.0387559,0.4263441,1.4651,0.5328553428723345,0.1332138357180835,0.666069178590418,0.0865097411580834,1.5516097411580834,0.4647148477990052,1.130784026389423,2.6823937675475067,0.1332138357180835,0.5128538411580834,0.9975701906713396,1.0387559,0.1282436381040854,0.4937193051400078,0.9603509262102288
6,0.709,0.8,0.8579774949699641,0.7312338573858141,0.779786130785942,1.2256482999999998,0.5030517,1.7287,0.3328581349991364,0.083214533749784,0.4160726687489205,0.2861547137131119,2.014854713713112,0.1529281571105308,0.5690008258594514,2.5838555395725633,0.083214533749784,0.789206413713112,0.4857862921096673,1.2256482999999998,0.0678943003060373,0.6439093610402854,0.3963504800762726
7,0.709,0.8,0.5802062089089304,0.5295322731137275,0.6756666417233645,0.7374309,0.3026691,1.0401,0.3645308484115804,0.091132712102895,0.4556635605144755,0.7525385206319894,1.7926385206319897,0.4048384025388939,0.8605019630533695,2.653140483685359,0.091132712102895,1.0552076206319896,0.7693692509504744,0.7374309,0.1235813580674407,1.430924064386222,1.0433102965314776
8,0.709,0.8,0.4601440847169564,0.8177419986554079,0.7936906704029704,0.7575664999999999,0.3109335,1.0685,0.3948703875165146,0.0987175968791286,0.4935879843956432,1.2535987414349898,2.32209874143499,0.1100106875659745,0.6035986719616178,2.9256974133966076,0.0987175968791286,1.5645322414349898,0.5048810750824891,0.7575664999999999,0.1303088202542333,2.065207795533448,0.6664511631420993
9,0.709,0.8,0.4942049630751902,0.7239756461225757,0.5590876294614177,0.60942095,0.25012905,0.85955,0.7944203985634521,0.1986050996408629,0.9930254982043152,0.8797081301722476,1.7392581301722476,0.3786028204037763,1.371628318608091,3.110886448780339,0.1986050996408629,1.1298371801722475,1.1730232189672285,0.60942095,0.3258914870597458,1.8539519853596231,1.924816038843477
10,0.709,0.8,0.4743683411913509,0.9480605405046684,0.5,0.48465822,0.19892178,0.68358,1.0929485262875251,0.2732371315718812,1.3661856578594065,0.7574520854954717,1.4410320854954717,0.0748464276360651,1.4410320854954717,2.8820641709909434,0.2732371315718812,0.9563738654954718,1.1677949539235903,0.48465822,0.5637728203018639,1.9732954606557005,2.409522640353836
11,0.709,0.8,0.45,0.8103091560793472,0.5850334777142253,0.5477734,0.2248266,0.7726,0.7894329796688272,0.1973582449172067,0.986791224586034,0.9442888888888888,1.716888888888889,0.2310047452393462,1.2177959698253802,2.934684858714269,0.1973582449172067,1.1691154888888888,1.0204377249081735,0.5477734,0.3602917646552511,2.134304967873374,1.862882945590592
12,0.709,0.8,0.4549293489833731,0.6387690898514315,0.5369779505946625,0.5412505999999999,0.2221494,0.7634,0.7394133702717239,0.1848533425679309,0.9242667128396548,0.914662762285976,1.6780627622859758,0.5226829400538906,1.4469496528935455,3.1250124151795213,0.1848533425679309,1.136812162285976,1.2620963103256146,0.5412505999999999,0.3415300464663336,2.100343468045996,2.3318150784971228
13,0.709,0.8,0.4756684864868129,0.7733354221776824,0.539359374499954,0.5205477999999999,0.2136522,0.7342,0.8155524490318232,0.2038881122579557,1.019440561289779,0.8093119644411306,1.5435119644411306,0.2987979831429513,1.3182385444327305,2.861750508873861,0.2038881122579557,1.0229641644411307,1.1143504321747746,0.5205477999999999,0.3916799038588882,1.9651685482891883,2.140726427380492
14,0.709,0.8,0.4517074612481168,0.8262246078382403,0.5244596800562421,0.5907388,0.2424612,0.8332,1.10549135218212,0.2763728380455299,1.38186419022765,1.0113566466796406,1.8445566466796408,0.2906400865975131,1.6725042768251632,3.517060923504804,0.2763728380455299,1.2538178466796408,1.3961314387796333,0.5907388,0.4678427048393129,2.122457246213793,2.3633650587698543
15,0.709,0.8,0.4504632868626293,0.819136786328901,0.554221549291614,0.5832942999999999,0.2394057,0.8227,0.9626406020560716,0.2406601505140178,1.2033007525700894,1.003641955034586,1.826341955034586,0.265685590923143,1.4689863434932324,3.2953282985278185,0.2406601505140178,1.243047655034586,1.2283261929792146,0.5832942999999999,0.4125878660463815,2.1310814369943034,2.1058429560844583
16,0.709,0.8,0.5154879324202373,0.796162895492875,0.544462605103526,0.6218638999999999,0.2552361,0.8771,0.9067310875969848,0.2266827718992461,1.1334138594962309,0.8243947292402733,1.7014947292402731,0.2901815704246477,1.4235954299208786,3.125090159161152,0.2266827718992461,1.0796308292402734,1.1969126580216325,0.6218638999999999,0.364521516523545,1.7361207641097571,1.924718025956536
17,0.709,0.8,0.5393063856243109,0.7003913325254715,0.5993982933207371,0.5635841,0.2313159,0.7949,0.5519566594344861,0.1379891648586214,0.6899458242931076,0.6790302578066257,1.4739302578066258,0.295140358605959,0.9850861828990668,2.4590164407056925,0.1379891648586214,0.9103461578066258,0.8470970180404451,0.5635841,0.2448421892289393,1.6152800581255322,1.503053436107309
18,0.709,0.8,0.5533032493141481,0.7450182321393721,0.505756022528287,0.633846,0.260154,0.894,0.941090759337354,0.2352726898343384,1.1763634491716926,0.72175049687159,1.61575049687159,0.4026092503200801,1.5789726994917728,3.1947231963633627,0.2352726898343384,0.98190449687159,1.3437000096574343,0.633846,0.3711827318218281,1.5491215482492435,2.1199155783225487
19,0.709,0.8,0.493868110423345,0.808871844826667,0.5385672167671118,0.4765189,0.1955811,0.6721,0.7545033102828472,0.1886258275707117,0.943129137853559,0.6887896501211104,1.3608896501211103,0.2228517822211927,1.1659809200747515,2.5268705701958623,0.1886258275707117,0.8843707501211104,0.97735509250404,0.4765189,0.3958412301604653,1.855898580562304,2.0510311186062924
20,0.709,0.8,0.5118058273889332,0.804483195802473,0.5939553766790181,0.6354767,0.2608233,0.8963,0.7705043233934367,0.1926260808483591,0.9631304042417956,0.8549500875041437,1.7512500875041437,0.2340734767927509,1.197203881034547,2.9484539685386904,0.1926260808483591,1.1157733875041438,1.0045778001861876,0.6354767,0.3031206035537717,1.7558053466069548,1.580825544329458
21,0.709,0.8,0.5235139042512074,0.7952796945729674,0.5984998971525713,0.5796783999999999,0.2379216,0.8176,0.6665674829601363,0.166641870740034,0.8332093537001704,0.7441541260330612,1.5617541260330612,0.2144841299710927,1.047693483671263,2.609447609704324,0.166641870740034,0.9820757260330611,0.8810516129312291,0.5796783999999999,0.2874729690463437,1.6941734003424336,1.519897261880431
22,0.709,0.8,0.5203698972425269,0.6199553306935707,0.6250863598045988,0.6283867,0.2579133,0.8863,0.5066524987663668,0.1266631246915916,0.6333156234579584,0.8169115129959666,1.7032115129959666,0.3882347884877555,1.021550411945714,2.724761924941681,0.1266631246915916,1.0748248129959663,0.8948872872541223,0.6283867,0.2015687548631944,1.7104512444263489,1.4241028450381306
23,0.709,0.8,0.4918738080652055,0.9067794223607275,0.5869531723036278,0.4962291,0.20367090000000002,0.6999,0.7263898651279888,0.18159746628199713,0.9079873314099859,0.723025938571662,1.422925938571662,0.09334475555567737,1.0013320869656632,2.424258025537325,0.18159746628199713,0.926696838571662,0.8197346206836661,0.4962291,0.36595489116216107,1.867477821376582,1.6519277500728315
