TrialIdx,j1,j2,x1,x2,x3,a1,a2,a3,a4,a5,a6,a7,a8,a9,a10,a11,b1,b2,b3,b4,c1,c2,c3
0,0.72,0.8,0.454139,0.81511,0.544035,0.688608,0.267792,0.9564,1.1509637435934184,0.2877409358983545,1.4387046794917728,1.1495631522507426,2.1059631522507427,0.3263389090935382,1.765043588585311,3.871006740836054,0.2877409358983545,1.4173551522507426,1.4773026526869566,0.688608,0.4178588339060169,2.0582902787227892,2.145346340279167
1,0.72,0.8,0.726232,0.425882,0.903916,1.660752,0.6458480000000001,2.3066,0.1150268373299808,0.0287567093324952,0.143783546662476,0.8695200277597243,3.1761200277597244,0.1938300333021058,0.3376135799645818,3.513733607724306,0.0287567093324952,1.5153680277597243,0.3088568706320866,1.660752,0.0173154747563123,0.9124589509810762,0.185974107291207
2,0.72,0.8,0.921546,0.903889,0.652035,1.60956,0.62594,2.2355,0.936111107160214,0.2340277767900534,1.170138883950267,0.1903148806462185,2.4258148806462185,0.1244214923241062,1.2945603762743736,3.720375256920592,0.2340277767900534,0.8162548806462185,1.0605325994843202,1.60956,0.1453986038358641,0.507129203413491,0.6588959712494845
3,0.72,0.8,0.643396,0.655267,0.800093,1.312272,0.510328,1.8226,0.3710298273658104,0.0927574568414525,0.463787284207263,1.0101810555241253,2.8327810555241255,0.2439963890240503,0.7077836732313134,3.540564728755439,0.0927574568414525,1.5205090555241254,0.6150262163898608,1.312272,0.0706846269991683,1.1586843699508376,0.4686728181275382
4,0.72,0.8,0.672259,0.950053,0.866246,1.5628319999999998,0.607768,2.1706,0.378919129337086,0.0947297823342714,0.4736489116713575,1.0582150846623095,3.2288150846623096,0.0249010762465349,0.4985499879178925,3.727365072580202,0.0947297823342714,1.6659830846623098,0.403820205583621,1.5628319999999998,0.0606141813926714,1.0660026699365703,0.2583900288601853
5,0.72,0.8,0.944245,0.589033,0.578442,1.385568,0.5388320000000001,1.9244,0.699902885796448,0.1749757214491119,0.8748786072455599,0.1136303840634581,2.0380303840634584,0.610400837616714,1.485279444862274,3.5233098289257323,0.1749757214491119,0.6524623840634582,1.310303723413162,1.385568,0.1262844706640972,0.4708988545228081,0.94567983918015
6,0.72,0.8,0.857977,0.731234,0.779786,1.7241839999999995,0.670516,2.3947,0.4610959670717213,0.1152739917679303,0.5763699588396516,0.3964004607349614,2.7911004607349614,0.2118455218951768,0.7882154807348285,3.57931594146979,0.1152739917679303,1.0669164607349615,0.6729414889668982,1.7241839999999995,0.0668571288029179,0.6187950130235298,0.3902956349014365
7,0.72,0.8,0.580206,0.529532,0.675667,1.047168,0.407232,1.4544,0.5097324455271124,0.127433111381778,0.6371655569088904,1.0522958976639332,2.506695897663933,0.5660961098249243,1.2032616667338147,3.709957564397748,0.127433111381778,1.4595278976639332,1.0758285553520368,1.047168,0.1216930916355141,1.3937858086419117,1.0273695866871762
8,0.72,0.8,0.9434272268001392,0.5928365987846632,0.5724064137351769,1.203192,0.467908,1.6711,0.6275462209234873,0.1568865552308718,0.7844327761543591,0.1002077941029309,1.771307794102931,0.53875269816095,1.323185474315309,3.09449326841824,0.1568865552308718,0.568115794102931,1.1662989190844373,1.203192,0.1303919534296037,0.472173845988779,0.9693373286095962
9,0.72,0.8,0.903355664905339,0.5463238128402045,0.504529631925054,0.971208,0.377692,1.3489,0.6409027102609455,0.1602256775652363,0.8011283878261818,0.1443103183759286,1.4932103183759289,0.6652700538989013,1.466398441725083,2.9596087601010117,0.1602256775652363,0.5220023183759287,1.3061727641598466,0.971208,0.1649756566721406,0.5374773667184874,1.3448949804365766
10,0.72,0.8,0.8862156878445092,0.4,0.5,1.081008,0.420392,1.5014,0.5421343884901945,0.1355335971225485,0.677667985612743,0.1927699640318574,1.6941699640318575,1.0165019784191145,1.6941699640318575,3.388339928063715,0.1355335971225485,0.6131619640318575,1.558636366909309,1.081008,0.1253770528271285,0.5672131603391072,1.4418361075119788
11,0.72,0.8,0.9645138395093688,0.4,0.5,1.270224,0.493976,1.7642,0.5853145666496332,0.1463286416624082,0.7316432083120414,0.0649080207801036,1.8291080207801036,1.0974648124680622,1.8291080207801036,3.658216041560207,0.1463286416624082,0.5588840207801037,1.6827793791176957,1.270224,0.1151990843051369,0.439988553814212,1.3247894695090752
12,0.72,0.8,0.855382309321828,0.4,0.5170522954298218,1.1358719999999998,0.441728,1.5776,0.5512546266953756,0.1378136566738438,0.6890682833692194,0.2667215189366813,1.844321518936681,1.0336024250538292,1.7226707084230486,3.5669922273597297,0.1378136566738438,0.7084495189366813,1.5848570517492049,1.1358719999999998,0.1213285094393064,0.623705416575707,1.3952778585520245
13,0.72,0.8,1.0,0.4,0.5,1.159704,0.450996,1.6107,0.5154240000000001,0.128856,0.6442800000000001,0.0,1.6107,0.96642,1.6107,3.2214,0.128856,0.450996,1.4818440000000002,1.159704,0.1111111111111111,0.3888888888888889,1.277777777777778
14,0.72,0.8,0.7560149334651424,0.4,0.5,0.875016,0.340284,1.2153,0.5144025372852385,0.1286006343213096,0.6430031716065482,0.3922079290163703,1.6075079290163703,0.964504757409822,1.6075079290163703,3.2150158580327406,0.1286006343213096,0.7324919290163703,1.4789072946950608,0.875016,0.1469694660684028,0.8371183258550361,1.6901488597866334
15,0.72,0.8,0.6504908976027545,0.4,0.5,0.88092,0.34258,1.2235,0.6018839025155671,0.1504709756288917,0.7523548781444589,0.6573871953611472,1.8808871953611472,1.1285323172166883,1.8808871953611472,3.7617743907222945,0.1504709756288917,0.9999671953611472,1.7304162197322557,0.88092,0.1708111697190343,1.13513962148793,1.9643284517688957
16,0.72,0.8,0.8143926926450745,0.4,0.5,0.975312,0.379288,1.3546,0.5322641078619232,0.1330660269654807,0.665330134827404,0.3087253370685099,1.66332533706851,0.997995202241106,1.66332533706851,3.32665067413702,0.1330660269654807,0.68801333706851,1.530259310103029,0.975312,0.1364343173932862,0.7054289674160782,1.5689946500227918
17,0.72,0.8,0.45,0.4,0.5,0.56556,0.21994,0.7855,0.5585777777777778,0.1396444444444444,0.6982222222222223,0.9600555555555556,1.7455555555555555,1.0473333333333334,1.7455555555555555,3.4911111111111115,0.1396444444444444,1.1799955555555557,1.6059111111111113,0.56556,0.2469135802469135,2.08641975308642,2.839506172839507
