rv,ri
4.06300000000002, 110.81034328605462
4.064000000000021, 110.77067757086786
4.065000000000022, 110.73395185764015
4.066000000000022, 110.70007541662359
4.0670000000000215, 110.66895751807024
4.068000000000023, 110.64050743223227
4.069000000000023, 110.6146344293617
4.070000000000023, 110.59124777971077
4.071000000000024, 110.57025675353155
4.072000000000024, 110.55157062107612
4.073000000000024, 110.53509865259662
4.074000000000025, 110.52075011834516
4.075000000000025, 110.50843428857385
4.076000000000025, 110.49806043353482
4.077000000000026, 110.48953782348016
4.078000000000026, 110.48277572866203
4.079000000000026, 110.4776834193325
4.080000000000027, 110.47417016574371
4.081000000000027, 110.47214523814777
4.082000000000027, 110.47151790679678
4.083000000000028, 110.47219744194287
4.084000000000028, 110.47409311383814
4.085000000000028, 110.47711419273475
4.086000000000029, 110.48116994888471
4.087000000000029, 110.48616965254028
4.088000000000029, 110.49202257395349
4.08900000000003, 110.49863798337643
4.090000000000031, 110.50592515106128
4.0910000000000295, 110.51379334726008
4.092000000000031, 110.52215184222504
4.09300000000003, 110.5309099062082
4.094000000000031, 110.53997680946172
4.095000000000032, 110.54926182223768
4.096000000000032, 110.55867421478825
4.097000000000032, 110.56812325736546
4.098000000000033, 110.57751822022148
4.099000000000033, 110.5867683736084
4.1000000000000325, 110.59578298777838
4.101000000000034, 110.6044713329835
4.102000000000034, 110.61274267947586
4.103000000000034, 110.62050629750762
4.104000000000035, 110.62767145733082
4.105000000000035, 110.63414742919767
4.106000000000035, 110.63984348336022
4.107000000000036, 110.64466889007059
4.108000000000036, 110.64853291958094
4.109000000000036, 110.65134484214332
4.110000000000037, 110.65301392800993
4.111000000000037, 110.65344944743279
4.112000000000037, 110.65256067066406
4.113000000000038, 110.65025686795587
4.114000000000038, 110.6464473095603
4.115000000000038, 110.64104126572948
4.116000000000039, 110.63394955775954
4.117000000000039, 110.62518942956947
4.1180000000000385, 110.61495125845028
4.11900000000004, 110.60344131353513
4.12000000000004, 110.59086586395709
4.12100000000004, 110.57743117884931
4.122000000000041, 110.56334352734488
4.123000000000041, 110.54880917857696
4.124000000000041, 110.53403440167861
4.125000000000042, 110.51922546578298
4.126000000000042, 110.50458864002321
4.127000000000042, 110.49033019353237
4.128000000000043, 110.47665639544361
4.129000000000043, 110.46377351489004
4.130000000000043, 110.45188782100476
4.131000000000044, 110.44120558292093
4.132000000000044, 110.43193306977163
4.133000000000044, 110.42427655068997
4.134000000000045, 110.4184422948091
4.135000000000044, 110.41463656863993
4.136000000000045, 110.41299479720404
4.137000000000046, 110.41339684616707
4.138000000000046, 110.41566497285856
4.139000000000046, 110.41962143460827
4.140000000000047, 110.42508848874566
4.141000000000047, 110.43188839260043
4.142000000000047, 110.43984340350215
4.143000000000048, 110.44877577878039
4.144000000000048, 110.45850777576483
4.145000000000048, 110.46886165178503
4.146000000000049, 110.47965966417064
4.147000000000049, 110.49072407025123
4.148000000000049, 110.50187712735642
4.14900000000005, 110.5129410928158
4.15000000000005, 110.52373822395904
4.151000000000051, 110.53409077811567
4.152000000000051, 110.54382101261534
4.15300000000005, 110.55275118478767
4.154000000000052, 110.56070355196222
4.155000000000052, 110.56751817639167
4.156000000000052, 110.57318819881336
4.157000000000052, 110.57778478495678
4.158000000000053, 110.58137972205938
4.159000000000053, 110.58404479735862
4.160000000000053, 110.58585179809184
4.161000000000054, 110.58687251149647
4.162000000000054, 110.58717872480997
4.163000000000054, 110.5868422252697
4.164000000000055, 110.58593480011314
4.165000000000055, 110.5845282365776
4.166000000000055, 110.58269432190055
4.167000000000056, 110.58050484331942
4.168000000000056, 110.57803158807157
4.169000000000056, 110.57534634339444
4.170000000000057, 110.57252089652548
4.171000000000057, 110.56962703470201
4.172000000000057, 110.56673654516153
4.173000000000058, 110.56392121514139
4.174000000000058, 110.56125136657877
4.175000000000058, 110.5587589087182
4.176000000000059, 110.55643452305776
4.177000000000059, 110.55426686190157
4.178000000000059, 110.55224457755365
4.17900000000006, 110.5503563223181
4.180000000000059, 110.54859074849907
4.1810000000000604, 110.54693650840058
4.182000000000061, 110.54538225432677
4.183000000000061, 110.54391663858166
4.1840000000000614, 110.5425283134694
4.185000000000062, 110.54120593129409
4.186000000000062, 110.53993814435977
4.1870000000000624, 110.53871360497055
4.188000000000063, 110.53752096543049
4.189000000000063, 110.53634887804373
4.1900000000000635, 110.53518599511435
4.191000000000064, 110.5340209689464
4.192000000000064, 110.53284245184398
4.1930000000000645, 110.53163909611116
4.194000000000065, 110.5303995540521
4.195000000000065, 110.52911247797083
4.1960000000000655, 110.52776652017147
4.197000000000066, 110.52635033295806
4.198000000000066, 110.52485256863473
4.1990000000000665, 110.52326187950558
4.200000000000067, 110.52156691787464
4.201000000000068, 110.51975633604602
4.202000000000068, 110.51781878632386
4.203000000000068, 110.5157429210122
4.204000000000068, 110.51351739241514
4.2050000000000685, 110.51113085283677
4.206000000000069, 110.50857195458116
4.207000000000069, 110.50582934995242
4.2080000000000695, 110.50289169125465
4.20900000000007, 110.4997476307919
4.21000000000007, 110.4963858208683
4.2110000000000705, 110.49279491378786
4.212000000000072, 110.48896356185479
4.213000000000071, 110.48488710756176
4.2140000000000715, 110.48059585304662
4.215000000000073, 110.47613148186565
4.216000000000072, 110.47153568374047
4.217000000000072, 110.4668501483929
4.218000000000073, 110.46211656554453
4.219000000000072, 110.45737662491717
4.2200000000000735, 110.45267201623246
4.221000000000074, 110.44804442921209
4.222000000000073, 110.44353555357783
4.2230000000000745, 110.43918707905135
4.224000000000075, 110.43504069535436
4.225000000000075, 110.43113809220854
4.2260000000000755, 110.42752095933562
4.227000000000076, 110.4242309864573
4.228000000000076, 110.42130986329532
4.2290000000000765, 110.41879927957132
4.230000000000077, 110.41674092500705
4.231000000000077, 110.4151764893242
4.2320000000000775, 110.41414496139252
4.233000000000078, 110.41364942734475
4.234000000000079, 110.41366747435188
4.235000000000078, 110.41417614616034
4.236000000000079, 110.41515248651648
4.237000000000079, 110.41657353916678
4.2380000000000795, 110.41841634785762
4.23900000000008, 110.4206579563354
4.24000000000008, 110.4232754083466
4.2410000000000805, 110.42624574763755
4.242000000000081, 110.42954601795472
4.243000000000082, 110.43315326304447
4.2440000000000815, 110.43704452665328
4.245000000000082, 110.44119685252751
4.246000000000082, 110.44558728441363
4.2470000000000825, 110.450192866058
4.248000000000083, 110.45499064120706
4.249000000000083, 110.4599576536072
4.2500000000000835, 110.46507094700486
4.251000000000084, 110.47030756514644
4.252000000000084, 110.47564455177839
4.2530000000000845, 110.48105895064704
4.254000000000085, 110.48652780549887
4.255000000000085, 110.49202816008031
4.2560000000000855, 110.49753705813765
4.257000000000086, 110.50303154341748
4.258000000000086, 110.50848865966611
4.2590000000000865, 110.51388545062996
4.260000000000086, 110.51919896005546
4.261000000000087, 110.52440623168901
4.2620000000000875, 110.52948430927705
4.263000000000088, 110.53441023656596
4.264000000000088, 110.5391610573022
4.2650000000000885, 110.54371381523211
4.266000000000089, 110.54804555410217
4.267000000000089, 110.55213331765877
4.2680000000000895, 110.5559541496483
4.26900000000009, 110.55948509381723
4.27000000000009, 110.5627031959081
4.2710000000000905, 110.56559293249965
4.272000000000091, 110.56816297341466
4.273000000000091, 110.5704269038492
4.2740000000000915, 110.57239830899941
4.275000000000092, 110.57409077406143
4.276000000000092, 110.5755178842314
4.2770000000000925, 110.5766932247055
4.278000000000093, 110.57763038067978
4.279000000000093, 110.57834293735047
4.280000000000094, 110.57884447991364
4.281000000000094, 110.57914859356544
4.282000000000094, 110.57926886350201
4.2830000000000945, 110.57921887491949
4.284000000000095, 110.57901221301402
4.285000000000096, 110.57866246298171
4.2860000000000955, 110.57818321001875
4.287000000000096, 110.57758803932123
4.288000000000096, 110.5768905360853
4.2890000000000965, 110.5761042855071
4.290000000000097, 110.57524287278275
4.291000000000097, 110.5743198831084
4.2920000000000975, 110.5733489016802
4.293000000000098, 110.57234351369428
4.294000000000098, 110.57131730434678
4.2950000000000985, 110.57028385883379
4.296000000000099, 110.5692567623515
4.297000000000099, 110.56824960009601
4.2980000000000995, 110.56727595726348
4.2990000000001, 110.56634941905004
4.3000000000001, 110.56548357065185
4.3010000000001005, 110.56469199726502
4.302000000000101, 110.56398828408567
4.303000000000101, 110.56338601630998
4.3040000000001015, 110.56289877913403
4.305000000000103, 110.56254015775403
4.306000000000102, 110.56232373736606
4.3070000000001025, 110.56226310316629
4.308000000000103, 110.5623718403508
4.309000000000103, 110.56266289177177
4.310000000000103, 110.56313492529246
4.311000000000104, 110.56377260558543
4.312000000000104, 110.56456000934502
4.3130000000001045, 110.56548121326574
4.314000000000105, 110.566520294042
4.315000000000106, 110.56766132836823
4.3160000000001055, 110.5688883929389
4.317000000000106, 110.5701855644484
4.318000000000106, 110.5715369195912
4.3190000000001065, 110.5729265350617
4.320000000000107, 110.57433848755436
4.321000000000107, 110.57575685376364
4.3220000000001075, 110.57716571038391
4.323000000000108, 110.57854913410966
4.324000000000108, 110.57989120163529
4.3250000000001085, 110.58117598965526
4.326000000000109, 110.582387574864
4.327000000000108, 110.58351003395595
4.3280000000001095, 110.58452744362552
4.32900000000011, 110.58542388056718
4.33000000000011, 110.58618342147531
4.3310000000001105, 110.58679014304442
4.332000000000111, 110.58722812196886
4.333000000000111, 110.58748143494317
4.3340000000001115, 110.58753415866168
4.335000000000112, 110.5873703698189
4.336000000000112, 110.58697414510922
4.3370000000001125, 110.58632956122707
4.338000000000113, 110.58542069486695
4.339000000000113, 110.58423162272325
4.3400000000001135, 110.58274642149038
