RI,MW
2.285353749655883,68.68166010864906
2.2910241382690515,68.77154303309537
2.29687653605545,68.86152781653209
2.302899943870088,68.95161455436751
2.3090833625680034,69.04180334206806
2.3154157930042487,69.13209427517945
2.32188623603372,69.22248744930455
2.3284836925115258,69.31298296012314
2.335197163292648,69.40358090337814
2.3420156492320814,69.4942813748811
2.348928151184964,69.58508447051412
2.355923670006092,69.67599028622256
2.362991206550646,69.76699891802735
2.3701197616736494,69.85811046201027
2.377298336229984,69.94932501432429
2.384515931074773,70.04064267119318
2.39176154706297,70.13206352890604
2.399024185049626,70.22358768382033
2.4062928458897517,70.31521523236334
2.4135565304383704,70.40694627103035
2.420804239550449,70.49878089638254
2.4280249740810405,70.59071920505359
2.4352077348851395,70.68276129374466
2.4423424380019867,70.77490725922196
2.449433699054552,70.86715719832682
2.4564979869269337,70.9595112079621
2.4635521081446115,71.05196938510385
2.4706128692330225,71.14453182679524
2.477697076717604,71.23719863014767
2.484821537123892,71.3299698923448
2.4920030569771683,71.42284571063249
2.4992584428029687,71.5158261823314
2.5066045011267732,71.60891140482805
2.5140580384739906,71.7021014755788
2.5216358613700436,71.79539649211044
2.5293547763404263,71.88879655201153
2.5372315899105615,71.9823017529513
2.5452831086058865,72.07591219265625
2.553526138951881,72.16962796893209
2.561977487473982,72.26344917964492
2.570653960697584,72.35737592273344
2.579572365148209,72.45140829620858
2.5887491226903308,72.54554639814629
2.5981712634021648,72.63979032669324
2.6077762039645904,72.73414018006429
2.6174965812310518,72.828596056544
2.6272650320551634,72.92315805448727
2.6370141932904403,73.01782627231779
2.6466767017904402,73.11260080852806
2.6561851944087067,73.2074817616773
2.665472307998769,73.3024692304025
2.6744706794141706,73.39756331340068
2.683112945508384,73.49276410944354
2.691331743135052,73.58807171737018
2.6990597091476474,73.6834862360887
2.706229480399813,73.77900776458249
2.712773693744964,73.87463640189512
2.718624986036687,73.97037224714764
2.7237159941285682,74.06621539952654
2.7279793548740656,74.16216595829117
2.7313477051268222,74.25822402276528
2.7337536820330115,74.3543896923482
2.7351647218172133,74.45066306650693
2.7356790565789453,74.54704424477615
2.7354256425754073,74.64353332676514
2.734533436063842,74.74013041214565
2.7331313933014627,74.83683560066991
2.7313484705455267,74.9336489921474
2.7293136240532476,75.03057068646814
2.7271558100819107,75.12760078358794
2.725003984888687,75.22473938353099
2.7229871047308905,75.32198658639695
2.7212341258656636,75.41934249234643
2.7198740045502916,75.51680720162197
2.7190356970420027,75.61438081452503
2.7188481595980534,75.71206343143473
2.719440348475601,75.80985515279832
2.720941219931987,75.90775607913218
2.723479730224369,76.00576631102355
2.7271848356100463,76.10388594912999
2.7321854923461473,76.20211509418317
2.738596722134602,76.30045384697489
2.746408119218728,76.39890230837982
2.7555428957980297,76.49746057933656
2.765923659399533,76.59612876085096
2.777473017550207,76.69490695400859
2.7901135777770634,76.79379525995687
2.8037679476070423,76.89279377991926
2.8183587345671697,76.99190261518655
2.8338085461844003,77.09112186712291
2.8500399899856887,77.1904516371615
2.8669756734980893,77.28989202680408
