rv,ri
6, 108.09912763015323
6.01, 107.7695159989493
6.02, 107.52389737030093
6.029999999999999, 107.35124492939197
6.039999999999999, 107.2405318614058
6.049999999999999, 107.1807313515259
6.059999999999999, 107.1608165849361
6.0699999999999985, 107.16976074681982
6.079999999999998, 107.19653702236056
6.089999999999998, 107.23011859674206
6.099999999999998, 107.25947865514766
6.109999999999998, 107.27359038276103
6.119999999999997, 107.26142696476586
6.129999999999997, 107.21196566556443
6.139999999999997, 107.12651603343522
6.149999999999997, 107.04591288685249
6.159999999999997, 107.01182576300921
6.169999999999996, 107.02995066473177
6.179999999999996, 107.09374534905442
6.189999999999996, 107.18987557285772
6.199999999999996, 107.3016600979487
6.2099999999999955, 107.4123941442264
6.219999999999995, 107.50537293158965
6.229999999999995, 107.56389167993747
6.239999999999995, 107.57124560916883
6.249999999999995, 107.51072993918268
6.2599999999999945, 107.3657344916176
6.269999999999994, 107.16301672759647
6.279999999999994, 107.04129567101754
6.289999999999994, 107.10889868981064
6.299999999999994, 107.27791905160315
6.309999999999993, 107.42504918878944
6.319999999999993, 107.52148770293215
6.329999999999993, 107.57626718596055
6.339999999999993, 107.59852065748582
6.3499999999999925, 107.59738113711961
6.359999999999992, 107.58198164447316
6.369999999999992, 107.56137363381113
6.379999999999992, 107.54096200945963
6.389999999999992, 107.52111948899451
6.3999999999999915, 107.50185105437279
6.409999999999991, 107.48316168755159
6.419999999999991, 107.46505637048804
6.429999999999991, 107.44754008513937
6.439999999999991, 107.43061781346255
6.44999999999999, 107.41429453741483
6.45999999999999, 107.39857523895336
6.46999999999999, 107.38346490003524
6.47999999999999, 107.36896850261755
6.4899999999999896, 107.35509102865741
6.499999999999989, 107.34183746011206
6.509999999999989, 107.32921277893855
6.519999999999989, 107.31722196709407
6.529999999999989, 107.30587000653574
6.5399999999999885, 107.29516187922061
6.549999999999988, 107.28510256710594
6.559999999999988, 107.27569705214876
6.569999999999988, 107.26695031630621
6.579999999999988, 107.25886734153552
6.589999999999987, 107.25145310979366
6.599999999999987, 107.2447126030379
6.609999999999987, 107.23865080322528
6.619999999999987, 107.23327269231307
6.629999999999987, 107.22858325225823
6.639999999999986, 107.22458746501799
6.649999999999986, 107.22129031254946
6.659999999999986, 107.21869677680978
6.669999999999986, 107.21681384912387
6.6799999999999855, 107.21599486178876
6.689999999999985, 107.21732983279182
6.699999999999985, 107.2211441205619
6.709999999999985, 107.22491423163696
6.719999999999985, 107.22552688225218
6.729999999999984, 107.21986878864266
6.739999999999984, 107.20719009054346
6.749999999999984, 107.20702926580452
6.759999999999984, 107.24570551861314
6.769999999999984, 107.29651368693952
6.779999999999983, 107.2941352843424
6.789999999999983, 107.24103542361262
