RI,MW
2.0572477394774324,52.62790094701555
2.0439074182748556,52.69923986457873
2.0307729440235818,52.77066288423894
2.0178428330404614,52.84217008843006
2.005115601642615,52.91376155964673
1.9925897661471197,52.98543738044432
1.98026384287094,53.057197633441255
1.968136348131054,53.1290424013179
1.9562057982445822,53.200971766817744
1.9444707095285025,53.27298581274172
1.932929598299836,53.345084621959245
1.9215809808756177,53.41726827739648
1.9104233735728542,53.489536862044346
1.8994552927086232,53.56189045895702
1.888675254599903,53.63432915124438
1.8780817755637145,53.70685302208951
1.867673371917121,53.77946215472628
1.8574485599771577,53.85215663245729
1.8474058560607745,53.924936538648545
1.8375437764850915,53.997801956722256
1.8278608375671013,54.07075297016868
1.818355555623782,54.14378966253893
1.809026446972183,54.2169121174438
1.799872027929382,54.290120418559596
1.7908908148123714,54.36341464962429
1.7820813239381152,54.43679489443874
1.7734420716237338,54.510261236863975
1.7649715741862195,54.583813760826665
1.7566683479426217,54.657452550312954
1.7485309092099186,54.73117768937586
1.7405577743051168,54.80498926212713
1.732747459545294,54.878887352742346
1.7250984812475423,54.95287204546135
1.7176093557286976,55.02694342458199
1.710278599305937,55.10110157447231
1.7031047282962533,55.17534657955649
1.6960862590166812,55.24967852432502
1.6892217077841991,55.32409749332771
1.682509590915899,55.39860357118273
1.675948424728773,55.47319684256881
1.669536725539814,55.54787739222365
1.6632730096661135,55.62264530495383
1.6571557934246641,55.69750066562536
1.6511835931324157,55.77244355916926
1.6453549251065596,55.847474070577206
1.6396683056640171,55.922592284905946
1.6341222511218234,55.997798287274136
1.628715277796985,56.073092162865166
1.62344590200658,56.1484739969244
1.6183126400676002,56.22394387475881
1.6133140082970954,56.29950188174337
1.6084485230120578,56.37514810331033
1.6037147005295367,56.45088262496083
1.5991110571665388,56.52670553225533
1.594636109240156,56.602616910817616
1.5902883730672954,56.67861684634009
1.5860663649650633,56.75470542457052
1.5819686012504945,56.83088273132734
1.5779935982405817,56.90714885248766
1.5741398722523314,56.98350387399365
1.5704059396028356,57.059947881853866
1.5667903166091008,57.13648096213476
1.5632915195881054,57.213103200972036
1.5599080648568986,57.28981468455812
1.5566384687325439,57.36661549915803
1.5534812475319768,57.443505731094355
